,,,,,,
"Measure category",Measure_Type,Pre_Main_Heating_Source,"Total Floor Area Band ","Starting Band","Average Treatable Factor","Cost Savings"
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,High_C,0.95,83.2
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,Low_C,0.95,85.2
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,High_D,0.95,88.7
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,Low_D,0.95,92.9
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,High_E,0.95,99.3
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,Low_E,0.95,106.5
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,High_F,0.95,116.8
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,Low_F,0.95,128
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,High_G,0.95,143.2
"External / Internal Wall Insulation",IWI_solid_1.7_0.55,N/A,0-72,Low_G,0.95,159.7
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,High_B,0.95,102.3
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,Low_B,0.95,103.1
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,High_C,0.95,105
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,Low_C,0.95,107.6
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,High_D,0.95,112.1
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,Low_D,0.95,117.4
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,High_E,0.95,125.6
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,Low_E,0.95,134.9
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,High_F,0.95,148.1
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,Low_F,0.95,162.6
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,High_G,0.95,182.2
"External / Internal Wall Insulation",IWI_solid_1.7_0.23,N/A,0-72,Low_G,0.95,203.3
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,High_B,0.95,97.7
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,Low_B,0.95,98.4
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,High_C,0.95,100.3
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,Low_C,0.95,102.7
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,High_D,0.95,107
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,Low_D,0.95,112.1
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,High_E,0.95,119.9
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,Low_E,0.95,128.8
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,High_F,0.95,141.3
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,Low_F,0.95,155.1
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,High_G,0.95,173.7
"External / Internal Wall Insulation",IWI_solid_1.7_0.3,N/A,0-72,Low_G,0.95,193.8
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,High_B,0.95,77.6
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,Low_B,0.95,78.2
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,High_C,0.95,79.7
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,Low_C,0.95,81.6
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,High_D,0.95,85
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,Low_D,0.95,89
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,High_E,0.95,95.1
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,Low_E,0.95,102
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,High_F,0.95,111.8
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,Low_F,0.95,122.6
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,High_G,0.95,137.1
"External / Internal Wall Insulation",IWI_solid_1.7_0.6,N/A,0-72,Low_G,0.95,152.8
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,High_B,0.95,42
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,Low_B,0.95,42.2
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,High_C,0.95,42.7
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,Low_C,0.95,43.5
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,High_D,0.95,45
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,Low_D,0.95,46.7
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,High_E,0.95,49.5
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,Low_E,0.95,52.6
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,High_F,0.95,57
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,Low_F,0.95,62
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,High_G,0.95,68.6
"External / Internal Wall Insulation",IWI_solid_1.0_0.45,N/A,0-72,Low_G,0.95,75.9
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,High_B,0.95,53.2
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,Low_B,0.95,53.4
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,High_C,0.95,54.1
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,Low_C,0.95,55.1
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,High_D,0.95,56.9
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,Low_D,0.95,59.2
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,High_E,0.95,62.6
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,Low_E,0.95,66.6
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,High_F,0.95,72.3
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,Low_F,0.95,78.6
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,High_G,0.95,87.2
"External / Internal Wall Insulation",IWI_solid_1.0_0.3,N/A,0-72,Low_G,0.95,96.4
